Designator,Mid X,Mid Y,Rotation,Layer
MX1,86.0,-54.0,0.0,top
MX10,145.25625,-94.0,0.0,top
MX11,153.0,-73.043303,0.0,top
MX12,172.053545,-73.043017,0.0,top
MX13,191.10569,-81.13125,0.0,top
MX14,210.157835,-85.89375,0.0,top
MX2,105.058542,-54.0,0.0,top
MX3,124.110687,-59.98125,0.0,top
MX4,153.0,-54.0,0.0,top
MX5,172.053545,-53.990872,0.0,top
MX6,191.10569,-62.084244,0.0,top
MX7,210.157835,-66.842755,0.0,top
MX8,86.0,-94.0,0.0,top
MX9,105.058542,-94.0,0.0,top
